1	VitaNudge Regression Test Cases	
2	Functionality	Test cases
3	Login & Registration	[Positive] Create temporary QA account
4	Login & Registration	[Positive] Log in using valid registered credentials
5	Login & Registration	[Negative] Log in with an email that has no account
6	Login & Registration	[Negative] Log in with a valid email and incorrect password
7	Login & Registration	[Negative] Submit login with empty email and password
8	Login & Registration	[Negative] Register using an invalid email format
9	Login & Registration	[Boundary] Register with a 5-character password
10	Login & Registration	[Boundary] Register with exactly a 6-character password
11	Login & Registration	[Negative] Register using an email that already exists
12	Login & Registration	[Edge] Use leading/trailing spaces and uppercase letters in email
13	Login & Registration	[Boundary] Enter maximum practical name and email lengths
14	Login & Registration	[Edge] Verify Register page login link on a 390px mobile viewport
15	Login & Registration	[Positive] Request password reset for a registered email
16	Login & Registration	[Negative] Request password reset for an unknown email
17	Login & Registration	[Negative] Open a protected page while logged out
18	Login & Registration	[Positive] Log out from the profile menu
19	Navigation & Access	[Positive] Navigate through Today, Add Food, Coach, Reports, and Tools
20	Navigation & Access	[Positive] Open a Tools subpage
21	Navigation & Access	[Positive] Open Profile, Goals, and My saved recipes from username menu
22	Navigation & Access	[Edge] Close username menu by clicking outside
23	Navigation & Access	[Edge] Close username menu using Escape
24	Navigation & Access	[Positive] Verify legacy URLs redirect correctly
25	Navigation & Access	[Negative] Open an unknown application route
26	Navigation & Access	[Edge] Refresh every protected route
27	Subscription & Tier Access	[Positive] Core user opens included features
28	Subscription & Tier Access	[Negative] Core user opens a Pro-only feature
29	Subscription & Tier Access	[Positive] Pro user opens all Pro features
30	Subscription & Tier Access	[Positive] Clinical user opens Clinical-only functionality
31	Subscription & Tier Access	[Boundary] Use the last free label scan and barcode lookup
32	Subscription & Tier Access	[Boundary] Attempt one scan or barcode lookup beyond the free quota
33	Subscription & Tier Access	[Edge] Subscription expires during an authenticated session
34	Today Dashboard	[Positive] Load Today with no meal logs
35	Today Dashboard	[Positive] Add a food to Breakfast
36	Today Dashboard	[Positive] Add foods to Lunch, Dinner, and Snack
37	Today Dashboard	[Negative] Try to add food without selecting a search result
38	Today Dashboard	[Boundary] Add the minimum allowed positive quantity
39	Today Dashboard	[Boundary] Enter zero quantity
40	Today Dashboard	[Negative] Enter a negative quantity
41	Today Dashboard	[Edge] Enter a very large quantity
42	Today Dashboard	[Positive] Edit quantity and unit of a logged meal
43	Today Dashboard	[Negative] Edit a logged meal with zero or invalid quantity
44	Today Dashboard	[Positive] Delete a logged meal entry
45	Today Dashboard	[Positive] Navigate to a previous date
46	Today Dashboard	[Boundary] Attempt to navigate beyond today
47	Today Dashboard	[Edge] Refresh after selecting a historical date
48	Today Dashboard	[Positive] Show incomplete-profile reminder after the first food is added
49	Today Dashboard	[Edge] Dismiss the profile reminder with Maybe later
50	Today Dashboard	[Positive] Open Complete profile now from the reminder
51	Today Dashboard	[Positive] Open Coach from the suggested next action
52	Today Dashboard	[Edge] Dashboard totals exceed a target
53	Today Dashboard	[Data Integrity] Saved goal targets appear on Today
54	Copy Yesterday	[Positive] Open Copy yesterday when yesterday has logs
55	Copy Yesterday	[Positive] Change an item's destination meal before copying
56	Copy Yesterday	[Positive] Copy only selected food items
57	Copy Yesterday	[Negative] Confirm copy with no selected items
58	Copy Yesterday	[Edge] Copy when yesterday has no meals
59	Copy Yesterday	[Edge] Attempt to copy the same items twice
60	Add Food - Manual	[Positive] Save a manually entered food with complete nutrition
61	Add Food - Manual	[Negative] Save manual food with name only
62	Add Food - Manual	[Negative] Save manual food without a name
63	Add Food - Manual	[Boundary] Save nutrition values equal to zero
64	Add Food - Manual	[Negative] Enter negative nutrition values
65	Add Food - Manual	[Edge] Enter decimal nutrition values
66	Add Food - Manual	[Edge] Enter a duplicate manual food name
67	Add Food - AI Estimate	[Positive] Estimate nutrition using food name
68	Add Food - AI Estimate	[Negative] Estimate with an empty food name
69	Add Food - AI Estimate	[Edge] Estimate an uncommon or misspelled food
70	Add Food - AI Estimate	[Positive] Edit estimated values before saving
71	Add Food - AI Estimate	[Positive] Save estimated food
72	Add Food - AI Estimate	[Negative] Save an estimated duplicate food
73	Barcode	[Positive] Look up a valid supported barcode
74	Barcode	[Negative] Look up an empty barcode
75	Barcode	[Negative] Look up an invalid or unknown barcode
76	Barcode	[Edge] Paste barcode containing spaces or non-digits
77	Barcode	[Positive] Review and edit barcode nutrition before saving
78	Barcode	[Positive] Save a new barcode product
79	Barcode	[Negative] Save a barcode product already in Library
80	Barcode	[Boundary] Use the final free barcode lookup
81	Barcode	[Edge] Scan barcode photo in a browser without BarcodeDetector
82	Label Scanner	[Positive] Upload a clear nutrition label image
83	Label Scanner	[Positive] Take a nutrition label photo on mobile
84	Label Scanner	[Negative] Upload a non-image file
85	Label Scanner	[Negative] Upload a plate or non-label image
86	Label Scanner	[Edge] Upload a blurry or partially cropped label
87	Label Scanner	[Positive] Edit extracted label values before saving
88	Label Scanner	[Negative] Save a scan where product name was not detected
89	Label Scanner	[Negative] Prevent simultaneous success and validation messages
90	Label Scanner	[Positive] Save reviewed label result
91	Label Scanner	[Boundary] Use final free label scan
92	Plate Scan	[Positive] Upload a clear meal photo
